Motor cycle Name,fueltype,starter,surat,maintenance,wheelbase,speedometer,enginetype,enginesize,fuelsystem,stroke,horsepower,peakrpm,price,Company
Royal Enfield Thunderbird 350,bensin,0,1,0,88.6,64.1,dohc,130,mpfi,2.68,111,5000,13495.0,1
Honda Dream Yuga,bensin,0,1,1,88.6,64.1,dohc,130,mpfi,2.68,111,5000,16500.0,2
TVS Apache RTR 160 4V,bensin,0,1,1,94.5,65.5,ohcv,152,mpfi,3.47,154,5000,16500.0,4
Honda Navi [2016-2017],bensin,1,0,0,99.8,66.2,ohc,109,mpfi,3.4,102,5500,13950.0,2
Yamaha Fazer [2009-2016],bensin,1,0,0,99.4,66.4,ohc,136,mpfi,3.4,115,5500,17450.0,3
Hero Honda Splendor NXG,bensin,1,0,0,99.8,66.3,ohc,136,mpfi,3.4,110,5500,15250.0,5
Hero Glamour 125,bensin,1,0,1,105.8,71.4,ohc,136,mpfi,3.4,110,5500,17710.0,5
Yamaha FZ S [2012-2016],bensin,1,0,0,105.8,71.4,ohc,136,mpfi,3.4,110,5500,18920.0,3
Hero Xtreme Sports,bensin,1,0,0,105.8,71.4,ohc,131,mpfi,3.4,140,5500,23875.0,5
Honda X-Blade,bensin,1,0,0,99.5,67.9,ohc,131,mpfi,3.4,160,5500,17859.167,2
Honda CB Shine SP,bensin,2,1,0,101.2,64.8,ohc,108,mpfi,2.8,101,5800,16430.0,2
Honda Activa 5G,bensin,2,1,1,101.2,64.8,ohc,108,mpfi,2.8,101,5800,16925.0,2
Hero Glamour 125,bensin,2,1,1,101.2,64.8,ohc,164,mpfi,3.19,121,4250,20970.0,5
Honda CBR-250R,bensin,2,1,1,101.2,64.8,ohc,164,mpfi,3.19,121,4250,21105.0,2
Hero Honda Passion PRO [2012],bensin,1,1,1,103.5,66.9,ohc,164,mpfi,3.19,121,4250,24565.0,5
Royal Enfield Thunderbird 350,bensin,2,1,0,103.5,66.9,ohc,209,mpfi,3.39,182,5400,30760.0,1
Bajaj Dominar 400,bensin,2,1,1,103.5,67.9,ohc,209,mpfi,3.39,182,5400,41315.0,0
Hero Glamour FI,bensin,2,1,1,110.0,70.9,ohc,209,mpfi,3.39,182,5400,36880.0,5
KTM 390 Duke,bensin,2,0,0,88.4,60.3,ohc,150,2bbl,3.03,48,5100,5151.0,6
Hero Passion XPro,bensin,2,0,0,94.5,63.6,ohc,150,2bbl,3.11,70,5400,6295.0,5
Yamaha FZ S V 2.0,bensin,2,0,0,94.5,63.6,ohc,150,2bbl,3.11,70,5400,6575.0,3
Hero Achiever 150,bensin,2,0,1,93.7,63.8,ohc,150,2bbl,3.23,68,5500,5572.0,5
Bajaj Discover 125,bensin,2,0,0,93.7,63.8,ohc,150,2bbl,3.23,68,5500,6377.0,0
Yamaha FZ16,bensin,2,0,0,93.7,63.8,ohc,150,mpfi,3.39,102,5500,7957.0,3
Yamaha Saluto,bensin,2,0,0,93.7,63.8,ohc,150,2bbl,3.23,68,5500,6229.0,3
Yamaha FZ16,bensin,1,0,0,93.7,63.8,ohc,150,2bbl,3.23,68,5500,6692.0,3
Bajaj Discover 100,bensin,2,0,0,93.7,63.8,ohc,150,2bbl,3.23,68,5500,7609.0,0
Honda CB Trigger,bensin,2,0,0,93.7,63.8,ohc,150,mpfi,3.39,102,5500,8558.0,2
Royal Enfield Electra 5 S,bensin,2,0,0,103.3,64.6,ohc,122,2bbl,3.46,88,5000,8921.0,1
Hero Splendor PRO,bensin,1,0,0,95.9,66.3,ohc,156,mfi,3.9,145,5000,12964.0,5
Honda Activa 5G,bensin,2,0,0,86.6,63.9,ohc,200,1bbl,3.41,58,4800,6479.0,2
Hero Honda Passion Plus,bensin,1,0,1,86.6,63.9,ohc,200,1bbl,3.41,76,6000,6855.0,5
Bajaj Pulsar 150,bensin,1,0,1,93.7,64.3,ohc,200,1bbl,3.07,60,5500,5399.0,0
Royal Enfield Bullet 350,bensin,1,0,1,93.7,64.3,ohc,200,1bbl,3.41,76,6000,6529.0,1
Bajaj Discover 125,bensin,1,0,1,93.7,64.3,ohc,200,1bbl,3.41,76,6000,7129.0,0
Bajaj Pulsar 150 [2001-2011],bensin,2,0,1,96.5,64.3,ohc,200,1bbl,3.41,76,6000,7295.0,0
Hero Splendor PRO,bensin,1,0,0,96.5,63.9,ohc,200,1bbl,3.41,76,6000,7295.0,5
Hero Xtreme Sports,bensin,1,0,0,96.5,65.2,ohc,110,1bbl,3.58,86,5800,7895.0,5
Honda Activa 3G,bensin,1,0,0,96.5,65.2,ohc,110,1bbl,3.58,86,5800,9095.0,2
Yamaha FZ16,bensin,1,0,0,96.5,65.2,ohc,110,1bbl,3.58,86,5800,8845.0,3
Honda CB Hornet 160R,bensin,1,0,0,96.5,62.5,ohc,110,1bbl,3.58,86,5800,10295.0,2
Royal Enfield Thunderbird 350,bensin,2,0,0,96.5,65.2,ohc,110,mpfi,3.58,101,5800,12945.0,1
Hero Hunk,bensin,1,0,0,96.5,66.9,ohc,110,2bbl,3.58,100,5500,10345.0,5
Suzuki Let''s,bensin,1,1,1,94.3,61.8,ohc,111,2bbl,3.23,78,4800,6785.0,7
Royal Enfield Electra 4 S,bensin,1,0,0,94.5,63.6,ohc,150,2bbl,3.11,70,5400,8916.5,1
TVS Scooty Pep Plus,bensin,1,0,0,94.5,63.6,ohc,150,2bbl,3.11,70,5400,8916.5,4
TVS Apache RTR 160,bensin,1,1,1,113.0,69.6,dohc,258,mpfi,4.17,176,4750,32250.0,4
Bajaj Pulsar AS200,bensin,1,1,0,113.0,69.6,dohc,258,mpfi,4.17,176,4750,35550.0,0
Bajaj Pulsar 150,bensin,1,1,1,102.0,70.6,ohcv,326,mpfi,2.76,262,5000,36000.0,0
Royal Enfield Thunderbird 350X,bensin,2,0,1,93.1,64.2,ohc,150,2bbl,3.15,68,5000,5195.0,1
Suzuki Intruder 150,bensin,2,0,0,93.1,64.2,ohc,150,2bbl,3.15,68,5000,6095.0,7
Hero Honda Karizma ZMR [2010],bensin,2,0,0,93.1,64.2,ohc,150,2bbl,3.15,68,5000,6795.0,5
Honda Dio,bensin,2,0,0,93.1,64.2,ohc,150,2bbl,3.15,68,5000,6695.0,2
Bajaj Xcd,bensin,2,0,0,93.1,64.2,ohc,150,2bbl,3.15,68,5000,7395.0,0
Hero Splendor Plus,bensin,2,1,1,95.3,65.7,rotor,150,4bbl,3.255,101,6000,10945.0,5
Royal Enfield Thunderbird 350X,bensin,1,1,0,95.3,65.7,rotor,150,4bbl,3.255,101,6000,11845.0,1
Honda CB Unicorn 150,bensin,2,1,1,95.3,65.7,rotor,150,4bbl,3.255,101,6000,13645.0,2
Honda Activa 5G,bensin,2,1,1,95.3,65.7,rotor,150,mpfi,3.255,135,6000,15645.0,2
Honda CB Twister,bensin,2,0,1,98.8,66.5,ohc,122,2bbl,3.39,84,4800,8845.0,2
Hero Splendor PRO,bensin,2,0,0,98.8,66.5,ohc,122,2bbl,3.39,84,4800,8495.0,5
Hero Honda CD Deluxe,bensin,1,0,0,98.8,66.5,ohc,122,2bbl,3.39,84,4800,10595.0,5
Honda Activa i [2016-2017],bensin,2,0,0,98.8,66.5,ohc,122,2bbl,3.39,84,4800,10245.0,2
Royal Enfield Classic Gunmetal Grey,bensin,2,0,0,98.8,66.5,ohc,122,idi,3.39,64,4650,10795.0,1
TVS Scooty Zest 110,bensin,1,0,0,98.8,66.5,ohc,122,2bbl,3.39,84,4800,11245.0,4
Hero CD Deluxe,bensin,2,1,1,104.9,66.1,ohc,140,mpfi,3.16,120,5000,18280.0,5
Suzuki Access 125 [2007-2016],bensin,2,1,1,104.9,66.1,ohc,134,idi,3.64,72,4200,18344.0,7
Honda Activa [2000-2015],bensin,1,1,1,110.0,70.3,ohc,183,idi,3.64,123,4350,25552.0,2
Honda Activa 125 [2016-2017],bensin,2,1,1,110.0,70.3,ohc,183,idi,3.64,123,4350,28248.0,2
Suzuki GS150R,bensin,2,1,1,106.7,70.3,ohc,183,idi,3.64,123,4350,28176.0,7
Bajaj Pulsar 220S,bensin,1,1,0,115.6,71.7,ohc,183,idi,3.64,123,4350,31600.0,0
Honda Activa 4G,bensin,2,1,0,115.6,71.7,ohcv,234,mpfi,3.1,155,4750,34184.0,2
Yamaha FZ25,bensin,2,1,0,96.6,70.5,ohcv,234,mpfi,3.1,155,4750,35056.0,3
Bajaj Pulsar 150,bensin,1,1,0,120.9,71.7,ohcv,308,mpfi,3.35,184,4500,40960.0,0
Hero Splendor Plus,bensin,1,1,0,112.0,72.3,ohcv,304,mpfi,3.35,184,4500,45400.0,5
Bajaj Discover 100,bensin,1,1,0,102.7,68.2,ohc,140,mpfi,3.12,175,5000,16503.0,0
Royal Enfield Thunderbird 350X,bensin,1,0,0,93.7,64.4,ohc,92,2bbl,3.23,68,5500,5389.0,1
Royal Enfield Classic 350,bensin,1,0,0,93.7,64.4,ohc,92,2bbl,3.23,68,5500,6189.0,1
Bajaj Pulsar 150,bensin,1,0,0,93.7,64.4,ohc,92,2bbl,3.23,68,5500,6669.0,0
Bajaj Pulsar NS160,bensin,1,0,0,93.0,63.8,ohc,98,spdi,3.39,102,5500,7689.0,0
Royal Enfield Classic Desert Storm,bensin,1,0,0,96.3,65.4,ohc,110,spdi,3.46,116,5500,9959.0,1
Suzuki Gixxer SF,bensin,1,0,0,96.3,65.4,ohc,122,2bbl,3.46,88,5000,8499.0,7
TVS Apache RTR 200 4V,bensin,1,0,0,95.9,66.3,ohc,156,spdi,3.86,145,5000,12629.0,4
Bajaj V15,bensin,1,0,0,95.9,66.3,ohc,156,spdi,3.86,145,5000,14869.0,0
TVS XL 100 Heavy Duty,bensin,2,0,0,95.9,66.3,ohc,156,spdi,3.86,145,5000,14489.0,4
Yamaha FZ S V 2.0,bensin,2,0,0,96.3,65.4,ohc,122,2bbl,3.46,88,5000,6989.0,3
Hero HF Deluxe,bensin,2,0,0,96.3,65.4,ohc,122,2bbl,3.46,88,5000,8189.0,5
Yamaha FZ25,bensin,1,0,0,96.3,65.4,ohc,110,spdi,3.46,116,5500,9279.0,3
Hero Honda Glamour,bensin,1,0,0,94.5,63.8,ohc,97,2bbl,3.29,69,5200,5499.0,5
Bajaj Discover 125 ST,bensin,2,0,1,94.5,63.8,ohc,103,idi,3.47,55,4800,7099.0,0
Hero Honda Passion Plus,bensin,1,0,1,94.5,63.8,ohc,250,2bbl,3.29,69,5200,6649.0,5
Honda Aviator,bensin,1,0,1,94.5,63.8,ohc,250,2bbl,3.29,69,5200,6849.0,2
TVS Scooty Pep Plus,bensin,2,0,1,94.5,63.8,ohc,250,2bbl,3.29,69,5200,7299.0,4
Hero Xtreme [2013-2014],bensin,2,0,1,94.5,63.8,ohc,250,2bbl,3.29,69,5200,7799.0,5
Royal Enfield Thunderbird 350,bensin,2,0,1,94.5,63.8,ohc,250,2bbl,3.29,69,5200,7499.0,1
Royal Enfield Classic Gunmetal Grey,bensin,2,0,1,95.1,63.8,ohc,250,2bbl,3.29,69,5200,8249.0,1
Honda CB Hornet 160R,bensin,1,0,0,97.2,65.2,ohc,120,2bbl,3.47,97,5200,8949.0,2
Honda Shine,bensin,1,0,0,97.2,65.2,ohc,120,2bbl,3.47,97,5200,9549.0,2
Bajaj Discover 100,bensin,1,0,0,100.4,66.5,ohcv,181,mpfi,3.27,152,5200,13499.0,0
Hero Honda CBZ extreme,bensin,1,0,1,100.4,66.5,ohcv,181,mpfi,3.27,152,5200,14399.0,5
Royal Enfield Classic 350,bensin,1,0,0,100.4,66.5,ohcv,181,mpfi,3.27,152,5200,13499.0,1
Honda Activa 5G,bensin,1,1,1,91.3,67.9,ohcv,181,mpfi,3.27,160,5200,17199.0,2
Bajaj Avenger Street 150 [2018],bensin,2,1,1,91.3,67.9,ohcv,181,mpfi,3.27,200,5200,19699.0,0
Royal Enfield Continental GT 650,bensin,2,1,1,99.2,67.9,ohcv,181,mpfi,3.27,160,5200,18399.0,1
Honda Activa 3G,bensin,2,1,0,107.9,68.4,l,120,mpfi,3.19,97,5000,11900.0,2
Honda Activa 3G,bensin,1,1,0,107.9,68.4,l,152,idi,3.52,95,4150,13200.0,2
Bajaj Pulsar 180,bensin,2,1,0,114.2,68.4,l,120,mpfi,3.19,97,5000,12440.0,0
Hero Honda CBZ extreme,bensin,2,1,1,107.9,68.4,l,120,mpfi,2.19,95,5000,15580.0,5
Royal Enfield Classic Gunmetal Grey,bensin,1,1,1,107.9,68.4,l,152,idi,3.52,95,4150,16900.0,1
KTM 390 Duke ABS [2013-2016],bensin,1,1,1,114.2,68.4,l,120,mpfi,2.19,95,5000,16695.0,6
Honda CB Hornet 160R,bensin,1,1,1,114.2,68.4,l,152,idi,3.52,95,4150,17075.0,2
KTM 200 Duke,bensin,1,1,1,107.9,68.4,l,120,mpfi,3.19,97,5000,16630.0,6
Hero Karizma 2014,bensin,1,1,1,107.9,68.4,l,152,idi,3.52,95,4150,17950.0,5
Hero Glamour 125,bensin,1,1,1,108.0,68.3,l,134,mpfi,3.21,142,5600,18150.0,5
Royal Enfield Classic 350,bensin,1,0,0,93.7,63.8,ohc,200,2bbl,3.23,68,5500,5572.0,1
Royal Enfield Classic 500,bensin,2,0,0,93.7,63.8,ohc,200,spdi,3.39,102,5500,7957.0,1
Bajaj Dominar 400,bensin,2,0,0,93.7,63.8,ohc,200,2bbl,3.23,68,5500,6229.0,0
Royal Enfield Thunderbird 350X,bensin,2,0,1,93.7,63.8,ohc,200,2bbl,3.23,68,5500,6692.0,1
KTM RC 390,bensin,2,0,1,93.7,63.8,ohc,200,2bbl,3.23,68,5500,7609.0,6
Royal Enfield Thunderbird 350,bensin,1,0,1,103.3,64.6,ohc,122,2bbl,3.46,88,5000,8921.0,1
Hero Hunk,bensin,1,1,1,95.9,66.3,ohc,156,spdi,3.86,145,5000,12764.0,5
KTM 390 Duke,bensin,1,1,1,94.5,68.3,ohc,151,mpfi,3.11,143,5500,22018.0,6
Suzuki Gixxer [2014-2018],bensin,1,1,1,89.5,65.1,ohcf,194,mpfi,2.9,207,5900,32528.0,7
Royal Enfield Bullet 350,bensin,1,1,1,89.5,65.1,ohcf,194,mpfi,2.9,207,5900,34028.0,1
Suzuki Access 125,bensin,1,1,0,89.5,65.1,ohcf,194,mpfi,2.9,207,5900,37028.0,7
TVS Apache RTR 200 4V,bensin,1,1,1,98.4,72.3,dohcv,203,mpfi,3.11,288,5750,31400.5,4
Hero Xtreme Sports,bensin,1,0,0,96.1,66.5,ohc,132,mpfi,3.9,90,5100,9295.0,5
Honda Activa [2000-2015],bensin,1,0,0,96.1,66.6,ohc,132,mpfi,3.9,90,5100,9895.0,2
Bajaj Discover 125,bensin,1,0,0,99.1,66.5,ohc,121,mpfi,3.07,110,5250,11850.0,0
Bajaj Pulsar 150,bensin,1,0,0,99.1,66.5,ohc,121,mpfi,3.07,110,5250,12170.0,0
Yamaha Saluto RX,bensin,1,0,1,99.1,66.5,ohc,121,mpfi,2.07,110,5250,15040.0,3
Hero HF Deluxe,bensin,1,0,0,99.1,66.5,ohc,121,mpfi,3.07,110,5250,15510.0,5
Suzuki Access 125,bensin,1,0,0,99.1,66.5,dohc,121,mpfi,3.07,160,5500,18150.0,7
Royal Enfield Classic Desert Storm,bensin,1,0,1,99.1,66.5,dohc,121,mpfi,3.07,160,5500,18620.0,1
Hero HF Deluxe,bensin,2,0,0,93.7,63.4,ohcf,150,2bbl,2.36,69,4900,5118.0,5
KTM RC 200,bensin,1,0,0,93.7,63.6,ohcf,108,2bbl,2.64,73,4400,7053.0,6
Honda CB Hornet 160R,bensin,1,0,0,93.3,63.8,ohcf,108,2bbl,2.64,73,4400,7603.0,2
Bajaj CT 100,bensin,1,0,1,97.2,65.4,ohcf,108,2bbl,2.64,82,4800,7126.0,0
Hero Honda Pleasure,bensin,2,0,0,97.2,65.4,ohcf,108,2bbl,2.64,82,4400,7775.0,5
Bajaj Pulsar 135 LS,bensin,2,0,0,97.2,65.4,ohcf,108,mpfi,2.64,94,5200,9960.0,0
Royal Enfield Classic 350,bensin,2,0,1,97.0,65.4,ohcf,108,2bbl,2.64,82,4800,9233.0,1
Honda Navi [2016-2017],bensin,2,0,0,97.0,65.4,ohcf,108,mpfi,2.64,111,4800,11259.0,2
Bajaj Discover 125,bensin,2,0,0,97.0,65.4,ohcf,108,2bbl,2.64,82,4800,7463.0,0
Yamaha SZ RR V 2.0,bensin,2,0,1,97.0,65.4,ohcf,108,mpfi,2.64,94,5200,10198.0,3
Bajaj Discover 150,bensin,2,0,0,96.9,65.4,ohcf,108,2bbl,2.64,82,4800,8013.0,0
Bajaj Pulsar 150,bensin,2,0,0,96.9,65.4,ohcf,108,mpfi,2.64,111,4800,11694.0,0
TVS Flame,bensin,0,0,1,95.7,63.6,ohc,150,2bbl,3.03,62,4800,5348.0,4
Yamaha SZ X,bensin,0,0,1,95.7,63.6,ohc,150,2bbl,3.03,62,4800,6488.0,3
Honda CBF Stunner,bensin,0,0,0,95.7,63.6,ohc,150,2bbl,3.03,62,4800,6918.0,2
Bajaj Discover 100 T,bensin,0,0,0,95.7,63.6,ohc,150,2bbl,3.03,62,4800,7898.0,0
Royal Enfield Classic 350,bensin,0,0,0,95.7,63.6,ohc,150,2bbl,3.03,62,4800,8778.0,1
Honda Activa [2000-2015],bensin,0,0,1,95.7,64.4,ohc,150,2bbl,3.03,70,4800,6938.0,2
Royal Enfield Electra 5 S,bensin,0,0,0,95.7,64.4,ohc,150,2bbl,3.03,70,4800,7198.0,1
Bajaj Pulsar 150,bensin,0,0,0,95.7,64.4,ohc,110,idi,3.35,56,4500,7898.0,0
Honda Shine,bensin,0,0,1,95.7,64.4,ohc,110,idi,3.35,56,4500,7788.0,2
Honda CB Unicorn 160,bensin,0,0,0,95.7,64.4,ohc,150,2bbl,3.03,70,4800,7738.0,2
Honda Activa 3G,bensin,0,0,0,95.7,64.4,ohc,150,2bbl,3.03,70,4800,8358.0,2
Honda Shine,bensin,0,0,1,95.7,64.4,ohc,150,2bbl,3.03,70,4800,9258.0,2
Bajaj Pulsar 180,bensin,0,1,1,94.5,64.3,ohc,150,2bbl,3.03,70,4800,8058.0,0
Suzuki Gixxer SF,bensin,0,1,1,94.5,64.3,ohc,150,2bbl,3.03,70,4800,8238.0,7
Honda CB Unicorn 150,bensin,0,1,1,94.5,64.3,dohc,150,mpfi,3.08,112,6600,9298.0,2
Yamaha YZF R15 [2011-2018],bensin,0,1,0,94.5,64.3,dohc,150,mpfi,3.08,112,6600,9538.0,3
TVS Sport,bensin,0,1,1,98.4,65.6,ohc,146,mpfi,3.5,116,4800,8449.0,4
Bajaj Pulsar AS200,bensin,0,1,0,98.4,65.6,ohc,146,mpfi,3.5,116,4800,9639.0,0
Honda Activa [2000-2015],bensin,0,1,0,98.4,65.6,ohc,146,mpfi,3.5,116,4800,9989.0,2
Yamaha FZ16,bensin,0,1,0,98.4,65.6,ohc,146,mpfi,3.5,116,4800,11199.0,3
Bajaj Boxer,bensin,0,1,1,98.4,65.6,ohc,146,mpfi,3.5,116,4800,11549.0,0
Hero Honda Hunk,bensin,0,1,1,98.4,65.6,ohc,146,mpfi,3.5,116,4800,17669.0,5
Hero Honda Hunk,bensin,0,0,0,102.4,66.5,ohc,122,mpfi,3.54,92,4200,8948.0,5
Bajaj Avenger Cruise 220,bensin,0,0,0,102.4,66.5,ohc,110,idi,3.35,73,4500,10698.0,0
Yamaha Ray Z,bensin,0,0,0,102.4,66.5,ohc,122,mpfi,3.54,92,4200,9988.0,3
Bajaj Pulsar 180,bensin,0,0,0,102.4,66.5,ohc,122,mpfi,3.54,92,4200,10898.0,0
Bajaj Discover 150F,bensin,0,0,0,102.4,66.5,ohc,122,mpfi,3.54,92,4200,11248.0,0
Bajaj Pulsar 135 LS,bensin,0,1,1,102.9,67.7,dohc,171,mpfi,3.35,161,5200,16558.0,0
Bajaj Pulsar 180,bensin,0,1,1,102.9,67.7,dohc,171,mpfi,3.35,161,5200,15998.0,0
Honda Activa 125 [2016-2017],bensin,0,1,1,104.5,66.5,dohc,171,mpfi,3.35,156,5200,15690.0,2
Hero HF Deluxe,bensin,0,1,1,104.5,66.5,dohc,161,mpfi,3.35,156,5200,15750.0,5
Hero Karizma 2014,bensin,0,0,0,97.3,65.5,ohc,140,idi,3.4,52,4800,7775.0,5
Bajaj Platina 100,bensin,0,0,0,97.3,65.5,ohc,109,mpfi,3.4,85,5250,7975.0,0
Royal Enfield Bullet 500,bensin,0,0,0,97.3,65.5,ohc,130,idi,3.4,52,4800,7995.0,1
Bajaj Pulsar AS200,bensin,0,0,0,97.3,65.5,ohc,109,mpfi,3.4,85,5250,8195.0,0
Yamaha FZ S [2012-2016],bensin,0,0,0,97.3,65.5,ohc,109,mpfi,3.4,85,5250,8495.0,3
Bajaj Pulsar 220 Fi,bensin,0,0,0,97.3,65.5,ohc,130,idi,3.4,68,4500,9495.0,0
Bajaj Pulsar 150,bensin,0,0,1,97.3,65.5,ohc,109,mpfi,3.4,100,5500,9995.0,0
Bajaj Dominar 400 [2018],bensin,0,0,0,94.5,64.2,ohc,109,mpfi,3.4,90,5500,11595.0,0
Hero Passion X Pro [2016-2017],bensin,0,0,1,94.5,64.1,ohc,109,mpfi,3.4,90,5500,9980.0,5
Yamaha FZ S V 2.0,bensin,0,0,1,100.4,66.9,ohc,136,mpfi,3.4,110,5500,13295.0,3
TVS Apache RTR 160,bensin,0,0,0,100.4,66.9,ohc,170,idi,3.4,68,4500,13845.0,4
Bajaj Avenger [2015],bensin,0,0,0,100.4,66.9,ohc,109,mpfi,3.4,88,5500,12290.0,0
Bajaj Pulsar 150,bensin,0,1,1,104.3,67.2,ohc,141,mpfi,3.15,114,5400,12940.0,0
Hero Honda Glamour,bensin,0,1,1,104.3,67.2,ohc,141,mpfi,3.15,114,5400,13415.0,5
Hero Splendor iSmart,bensin,0,1,1,104.3,67.2,ohc,141,mpfi,3.15,114,5400,15985.0,5
Royal Enfield Classic 350,bensin,0,1,1,104.3,67.2,ohc,141,mpfi,3.15,114,5400,16515.0,1
Yamaha FZ16,bensin,0,1,0,104.3,67.2,ohc,130,mpfi,3.15,162,5100,18420.0,3
Hero Xtreme Sports,bensin,0,1,1,104.3,67.2,ohc,130,mpfi,3.15,162,5100,18950.0,5
Royal Enfield Bullet 350 [2007-2011],bensin,0,1,1,109.1,68.9,ohc,141,mpfi,3.15,114,5400,16845.0,1
Hero Honda Passion,bensin,0,1,0,109.1,68.8,ohc,141,mpfi,3.15,160,5300,19045.0,5
Bajaj Discover 150S,bensin,0,1,1,109.1,68.9,ohcv,173,mpfi,2.87,134,5500,21485.0,0
TVS Scooty Zest 110,bensin,0,1,1,109.1,68.9,ohc,145,idi,3.4,106,4800,22470.0,4
Bajaj Avenger Street 150 [2018],bensin,0,1,1,109.1,68.9,ohc,141,mpfi,3.15,114,5400,22625.0,0
